date,Time,250-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C)
10.01.17,12:58:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,688.82,0,3126.5,0,0,0,0,481.295,0.955946785,0.53206491,0.1074588,2.031987,6.3339053,C,485.595,582.535,1628,2.5,0,100,0.1785,556.695
10.01.17,12:59:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,690.44,0,3122.5,0,0,0,0,478.815,1.006555,0.66227994,0.10017921,3.2278564,8.6181797,C,483.71,583.455,1623.5,2.5,0,100,0.5117,557.42
10.01.17,13:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,691.74,0,3121,0,0,0,0,479.46,1.0326074,0.65345301,0.12430979,3.5152878,9.2670103,C,481.96,584.53,1628,2.5,0,100,0.4998,558.22
10.01.17,13:01:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,693.01,0,3119.5,0,0,0,0,479.535,1.0563087,0.697160745,0.074709421,3.28891675,8.7985933,C,480.795,584.8,1629.5,2.5,0,100,0.595,558.56
10.01.17,13:02:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,694.3,0,3123.5,0,0,0,0,482.555,1.1026558,0.963903,0.049030329,2.9158435,7.5829596,C,479.66,585.06,1627.5,2.5,0,100,0.6188,558.915
10.01.17,13:03:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,695.55,0,3118.5,0,0,0,0,486.47,1.1563876,0.73940264,0.056510645,2.4557559,6.2770545,C,478.605,585.38,1625.5,2.5,0,100,0.595,559.195
10.01.17,13:04:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,696.78,0,3120.5,0,0,0,0,483.34,1.1765735,0.62701023,0.070979788,1.9400665,5.2370055,C,477.66,585.41,1626,2.5,0,100,0.595,559.33
10.01.17,13:05:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,697.93,0,3121,0,0,0,0,481.635,1.1931995,0.70195305,0.065118617,1.5983031,4.7290291,C,476.71,585.275,1625.5,2.5,0,100,0.595,559.39
10.01.17,13:06:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,699.04,0,3117.5,0,0,0,0,475.26,1.24114635,0.71833833,0.062792646,1.28877455,4.19839765,C,475.64,585.32,1624,2.5,0,100,0.5593,559.515
10.01.17,13:07:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,700.22,0,3121,0,0,0,0,483.765,1.270084,0.77427228,0.046160836,1.171501,3.8239394,C,474.82,584.775,1621.5,2.5,0,100,0.5474,559.315
10.01.17,13:08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,701.19,0,3118,0,0,0,0,477.765,1.3009715,0.73940822,0.028913341,1.1742354,3.5920005,C,474.065,584.67,1620.5,2.5,0,100,0.3213,559.375
10.01.17,13:09:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,702.11,0,3121,0,0,0,0,478.285,1.337759,0.701211885,0.084200222,1.1986749,5.640635,C,473.25,584.29,1620.5,2.5,0,100,0.2856,559.2
10.01.17,13:10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,703.08,0,3119,0,0,0,0,475.075,1.3483047,0.84887726,0.092425484,1.3053617,6.7503977,C,472.72,583.825,1621,2.5,0,100,0.4998,559.05
10.01.17,13:11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,703.93,0,3116,0,0,0,0,478.08,1.3692049,0.71789871,0.051686404,1.15632175,5.17103065,C,471.815,583.565,1622,2.5,0,100,0.3689,559.055
